mews_name,mews_clean,lon,lat,type,loctype,address,north,south,east,west
beaumont-mews,"Beaumont Mews, London",-0.1509876,51.5204214,route,geometric_center,"beaumont mews, marylebone, london w1u, uk",51.5218037802915,51.5191058197085,-0.149987969708498,-0.152685930291502
baynes-mews,"Baynes Mews, London",-0.1724823,51.5487421,route,geometric_center,"baynes mews, belsize park, london nw3, uk",51.5501592302915,51.5474612697085,-0.171281819708498,-0.173979780291502
bayham-place,"Bayham Place, London",-0.1374384,51.5351712,route,geometric_center,"bayham pl, london nw1, uk",51.5366892802915,51.5339913197085,-0.136179919708498,-0.138877880291502
batley-place,"Batley Place, London",-0.0737338,51.5587573,route,geometric_center,"batley pl, clapton, london n16, uk",51.5601243802915,51.5574264197085,-0.072364969708498,-0.075062930291502
bathurst-mews,"Bathurst Mews, London",-0.1740329,51.5136969,route,geometric_center,"bathurst mews, tyburnia, london w2, uk",51.5150376802915,51.5123397197085,-0.172524869708498,-0.175222830291502
barnaby-place,"Barnaby Place, London",-0.1760207,51.4927638,route,geometric_center,"barnaby pl, south kensington, london sw7, uk",51.4941351302915,51.4914371697085,-0.174646069708498,-0.177344030291502
barb-mews,"Barb Mews, London",-0.2231953,51.4976797,route,geometric_center,"barb mews, hammersmith, london w6, uk",51.4990434802915,51.4963455197085,-0.221580319708498,-0.224278280291502
balfour-mews,"Balfour Mews, London",-0.1523073,51.5088286,route,geometric_center,"balfour mews, mayfair, london w1k, uk",51.5098933302915,51.5071953697085,-0.150819869708498,-0.153517830291502
bakers-mews,"Bakers Mews, London",-0.1543004,51.5167017,route,geometric_center,"baker's mews, marylebone, london, uk",51.5181038302915,51.5154058697085,-0.152773369708498,-0.155471330291502
avenue-mews,"Avenue Mews, London",-0.143611,51.5908104,route,geometric_center,"ave mews, muswell hill, london n10, uk",51.5921613802915,51.5894634197085,-0.142259569708498,-0.144957530291502
atherstone-mews,"Atherstone Mews, London",-0.1816821,51.4955752,route,geometric_center,"atherstone mews, south kensington, london sw7, uk",51.4967129302915,51.4940149697085,-0.180362519708498,-0.183060480291502
astwood-mews,"Astwood Mews, London",-0.1862602,51.493841,route,geometric_center,"astwood mews, kensington, london sw5, uk",51.4952276802915,51.4925297197085,-0.184947669708498,-0.187645630291502
archery-close,"Archery Close, London",-0.1648634,51.51451,route,geometric_center,"archery cl, st george's fields, london w2, uk",51.5156049302915,51.5129069697085,-0.163332169708498,-0.166030130291502
albion-mews,"Albion Mews, London",-0.1661965,51.5133584,route,geometric_center,"albion mews, st george's fields, london w2, uk",51.5147198802915,51.5120219197085,-0.165079469708498,-0.167777430291502
albion-close,"Albion Close, London",-0.1672033,51.5131942,route,geometric_center,"albion cl, tyburnia, london w2, uk",51.5145541802915,51.5118562197085,-0.165659719708498,-0.168357680291502
albert-terrace-mews,"Albert Terrace Mews, London",-0.1539968,51.5378688,route,geometric_center,"albert terrace mews, camden town, london nw1, uk",51.5394213302915,51.5367233697085,-0.152338169708498,-0.155036130291502
albert-mews,"Albert Mews, London",-0.0357562,51.5096941,route,geometric_center,"albert mews, poplar, london, uk",51.5111463302915,51.5084483697085,-0.034397919708498,-0.037095880291502
albany-mews,"Albany Mews, London",-0.1083012,51.5433808,route,geometric_center,"albany mews, london n1 1ld, uk",51.5447203302915,51.5420223697085,-0.107042219708498,-0.109740180291502
addison-place,"Addison Place, London",-0.2130437,51.5063003,route,geometric_center,"addison pl, notting hill, london w11, uk",51.5078272302915,51.5051292697085,-0.211617919708498,-0.214315880291502
adams-row,"Adams Row, London",-0.1505145,51.5102823,route,geometric_center,"adam's row, mayfair, london w1k, uk",51.5115787302915,51.5088807697085,-0.149415969708498,-0.152113930291502
adam-and-eve-mews,"Adam And Eve Mews, London",-0.1943963,51.4993742,route,geometric_center,"adam and eve mews, kensington, london w8, uk",51.5005108802915,51.4978129197085,-0.193313269708498,-0.196011230291502
abercorn-close,"Abercorn Close, London",-0.1812421,51.5317006,route,geometric_center,"abercorn cl, st john's wood, london nw8, uk",51.5330562302915,51.5303582697085,-0.179884619708498,-0.182582580291502
